method,batch,reference_cell_type,target_cell_type,n_reference_cells,n_target_cells,n_pairwise_distances,alpha_baseline,mean_relative_separation,median_relative_separation
Uncorrected_PCA,celseq,alpha,acinar,213,229,10000,6.710790172760349,3.693675655578846,3.55184022316603
Uncorrected_PCA,celseq,alpha,activated_stellate,213,19,4047,6.710790172760349,6.056009563766332,6.1713022785697875
Uncorrected_PCA,celseq,alpha,alpha,213,213,10000,6.710790172760349,1.922748420066416,1
Uncorrected_PCA,celseq,alpha,beta,213,161,10000,6.710790172760349,1.9373616863796044,1.4993216574727581
Uncorrected_PCA,celseq,alpha,delta,213,50,10000,6.710790172760349,2.050700583889738,1.6023537550792084
Uncorrected_PCA,celseq,alpha,ductal,213,304,10000,6.710790172760349,3.2853979743953117,3.0980067359441676
Uncorrected_PCA,celseq,alpha,gamma,213,18,3834,6.710790172760349,2.0186571163431646,1.6191590358832428
Uncorrected_PCA,celseq2,alpha,acinar,500,274,10000,4.714300451828962,5.606127531062659,5.532516146270186
Uncorrected_PCA,celseq2,alpha,activated_stellate,500,90,10000,4.714300451828962,10.928160351684921,10.95057925117443
Uncorrected_PCA,celseq2,alpha,alpha,500,500,10000,4.714300451828962,1.374687021210057,1
Uncorrected_PCA,celseq2,alpha,beta,500,445,10000,4.714300451828962,2.586350138526871,2.4472736441739262
Uncorrected_PCA,celseq2,alpha,delta,500,203,10000,4.714300451828962,2.9327178107435268,2.804937463202931
Uncorrected_PCA,celseq2,alpha,ductal,500,257,10000,4.714300451828962,5.106676641411659,5.018172713874121
Uncorrected_PCA,celseq2,alpha,endothelial,500,21,10000,4.714300451828962,12.057241756410841,12.408650055235924
Uncorrected_PCA,celseq2,alpha,gamma,500,110,10000,4.714300451828962,2.381373492250586,2.2050082449513644
Uncorrected_PCA,celseq2,alpha,macrophage,500,15,7500,4.714300451828962,13.359619364051657,13.357262551748594
Uncorrected_PCA,celseq2,alpha,quiescent_stellate,500,12,6000,4.714300451828962,8.560343354298894,8.2631011402310115
Uncorrected_PCA,fluidigmc1,alpha,acinar,241,21,5061,9.666543532249138,2.9605198670236588,2.9755180226906424
Uncorrected_PCA,fluidigmc1,alpha,activated_stellate,241,16,3856,9.666543532249138,5.349884813992186,5.5027384775811985
Uncorrected_PCA,fluidigmc1,alpha,alpha,241,241,10000,9.666543532249138,1.1397648713278967,1
Uncorrected_PCA,fluidigmc1,alpha,beta,241,258,10000,9.666543532249138,1.9336495736025467,1.861962055080558
Uncorrected_PCA,fluidigmc1,alpha,delta,241,25,6025,9.666543532249138,1.7640928936957823,1.6868559247202097
Uncorrected_PCA,fluidigmc1,alpha,ductal,241,34,8194,9.666543532249138,2.7845864366241537,2.764362491264749
Uncorrected_PCA,fluidigmc1,alpha,endothelial,241,14,3374,9.666543532249138,4.339720571069358,4.211967986436537
Uncorrected_PCA,fluidigmc1,alpha,gamma,241,18,4338,9.666543532249138,1.6027154712969116,1.5658138798728003
Uncorrected_PCA,indrop,alpha,acinar,500,500,10000,5.762141476039786,3.753187713630691,3.814127307882397
Uncorrected_PCA,indrop,alpha,activated_stellate,500,294,10000,5.762141476039786,6.800323682265512,6.971101363330373
Uncorrected_PCA,indrop,alpha,alpha,500,500,10000,5.762141476039786,1.0861528696275435,1
Uncorrected_PCA,indrop,alpha,beta,500,500,10000,5.762141476039786,1.6184791117464514,1.5636306094039099
Uncorrected_PCA,indrop,alpha,delta,500,500,10000,5.762141476039786,1.5476691564092075,1.500892542971372
Uncorrected_PCA,indrop,alpha,ductal,500,500,10000,5.762141476039786,3.5415100683393583,3.5492849341405464
Uncorrected_PCA,indrop,alpha,endothelial,500,235,10000,5.762141476039786,7.317148501908551,7.353268965287901
Uncorrected_PCA,indrop,alpha,epsilon,500,16,8000,5.762141476039786,1.4632013947062106,1.4285184714141983
Uncorrected_PCA,indrop,alpha,gamma,500,266,10000,5.762141476039786,1.6047945207297516,1.55120811815355
Uncorrected_PCA,indrop,alpha,macrophage,500,55,10000,5.762141476039786,8.839333623099117,9.404407746288735
Uncorrected_PCA,indrop,alpha,mast,500,39,10000,5.762141476039786,5.488895778968174,6.073674134876779
Uncorrected_PCA,indrop,alpha,quiescent_stellate,500,160,10000,5.762141476039786,5.201166777891994,5.135517001337702
Uncorrected_PCA,indrop,alpha,schwann,500,13,6500,5.762141476039786,5.181684122378004,5.368696870049958
Uncorrected_PCA,smartseq2,alpha,acinar,500,188,10000,4.615996375803531,6.808671398863777,6.707117873154277
Uncorrected_PCA,smartseq2,alpha,activated_stellate,500,55,10000,4.615996375803531,12.026021124620284,12.20770113915895
Uncorrected_PCA,smartseq2,alpha,alpha,500,500,10000,4.615996375803531,1.6279689925957241,0.9999999999999999
Uncorrected_PCA,smartseq2,alpha,beta,500,308,10000,4.615996375803531,2.90463389645679,2.5421547323089344
Uncorrected_PCA,smartseq2,alpha,delta,500,127,10000,4.615996375803531,2.8414521467814655,2.533578165768983
Uncorrected_PCA,smartseq2,alpha,ductal,500,444,10000,4.615996375803531,6.19457271618481,6.063078172716667
