method,batch_1,batch_2,batch_pair,cell_type,n_cells_batch_1,n_cells_batch_2,n_cross_distances,n_within_distances_batch_1,n_within_distances_batch_2,median_cross_batch_distance,within_baseline,R_tech,tech_deviation
Uncorrected_PCA,celseq,celseq2,celseq vs celseq2,acinar,229,274,10000,10000,10000,13.68477265521766,12.23448345176583,1.1185411063057598,0.11202525255191279
Uncorrected_PCA,celseq,celseq2,celseq vs celseq2,activated_stellate,19,90,1710,171,4005,21.928344686802603,14.932513565525273,1.4684965522099789,0.38423912382264697
Uncorrected_PCA,celseq,celseq2,celseq vs celseq2,alpha,213,500,10000,10000,10000,7.082376334762971,5.368333478265502,1.3192877013764193,0.277091970781538
Uncorrected_PCA,celseq,celseq2,celseq vs celseq2,beta,161,445,10000,10000,10000,10.049232952288286,6.464358831883088,1.554559889640426,0.44119247640073883
Uncorrected_PCA,celseq,celseq2,celseq vs celseq2,delta,50,203,10000,1225,10000,9.41300304850098,6.441954020000619,1.4612030789533759,0.3792601230770495
Uncorrected_PCA,celseq,celseq2,celseq vs celseq2,ductal,304,257,10000,10000,10000,16.54910704390278,14.639540576519146,1.13043896134599,0.12260601866079887
Uncorrected_PCA,celseq,celseq2,celseq vs celseq2,gamma,18,110,1980,153,5995,7.855445170308794,5.964506687123128,1.3170318321996426,0.27538059270416065
Uncorrected_PCA,celseq,fluidigmc1,celseq vs fluidigmc1,acinar,229,21,4809,10000,210,29.452111647476222,12.463885075662622,2.362996085785912,0.8599303417437764
Uncorrected_PCA,celseq,fluidigmc1,celseq vs fluidigmc1,activated_stellate,19,16,304,171,120,41.015991707486634,17.51843729630595,2.3413042507013753,0.8507081461900833
Uncorrected_PCA,celseq,fluidigmc1,celseq vs fluidigmc1,alpha,213,241,10000,10000,10000,25.076643798497507,8.416307380949727,2.97953041202587,1.0917657082432124
Uncorrected_PCA,celseq,fluidigmc1,celseq vs fluidigmc1,beta,161,258,10000,10000,10000,30.827956795333797,8.877250951565017,3.472691823576191,1.244930034891328
Uncorrected_PCA,celseq,fluidigmc1,celseq vs fluidigmc1,delta,50,25,1250,1225,300,28.207676615715123,7.4934531797065755,3.76430944976154,1.325564431351677
Uncorrected_PCA,celseq,fluidigmc1,celseq vs fluidigmc1,ductal,304,34,10000,10000,561,32.758458676758934,14.578256708007697,2.2470765423389087,0.8096300568592937
Uncorrected_PCA,celseq,fluidigmc1,celseq vs fluidigmc1,gamma,18,18,324,153,153,23.703072546507634,8.466086255860402,2.7997674285564798,1.0295363525015546
Uncorrected_PCA,celseq,indrop,celseq vs indrop,acinar,229,500,10000,10000,10000,19.99309674439843,11.474402167075105,1.742408576349803,0.5552683953319446
Uncorrected_PCA,celseq,indrop,celseq vs indrop,activated_stellate,19,294,5586,171,10000,27.234769034296882,22.993840331064472,1.184437599033988,0.16926806195756344
Uncorrected_PCA,celseq,indrop,celseq vs indrop,alpha,213,500,10000,10000,10000,9.137147612543156,6.155756555155734,1.4843256926543607,0.39496059010893275
Uncorrected_PCA,celseq,indrop,celseq vs indrop,beta,161,500,10000,10000,10000,10.066740866195723,6.501237231956707,1.5484346297521419,0.43724450433315065
Uncorrected_PCA,celseq,indrop,celseq vs indrop,delta,50,500,10000,1225,10000,8.703145061255643,5.847455149705738,1.4883645685924778,0.39767791217640147
Uncorrected_PCA,celseq,indrop,celseq vs indrop,ductal,304,500,10000,10000,10000,18.99355366811851,14.57210833097367,1.3034183686204732,0.26499032766667335
Uncorrected_PCA,celseq,indrop,celseq vs indrop,gamma,18,266,4788,153,10000,9.095013549942934,6.303390866220735,1.4428763411582544,0.3666385804566253
Uncorrected_PCA,celseq,smartseq2,celseq vs smartseq2,acinar,229,188,10000,10000,10000,19.80142971291334,14.62488170745893,1.3539548632939906,0.30302983811020084
Uncorrected_PCA,celseq,smartseq2,celseq vs smartseq2,activated_stellate,19,55,1045,171,1485,29.071363489035004,21.121400155583103,1.3763937653229137,0.3194668652323776
Uncorrected_PCA,celseq,smartseq2,celseq vs smartseq2,alpha,213,500,10000,10000,10000,7.4859616406288545,5.345849996808619,1.4003314056881218,0.3367089269565038
Uncorrected_PCA,celseq,smartseq2,celseq vs smartseq2,beta,161,308,10000,10000,10000,10.205119132653529,7.2780762105465495,1.4021726122990366,0.33802289964949894
Uncorrected_PCA,celseq,smartseq2,celseq vs smartseq2,delta,50,127,6350,1225,8001,8.578285035291202,6.567924513585387,1.306087641163886,0.267036135160035
Uncorrected_PCA,celseq,smartseq2,celseq vs smartseq2,ductal,304,444,10000,10000,10000,20.033003988000793,15.99801253359321,1.2522182956123307,0.2249166149972374
Uncorrected_PCA,celseq,smartseq2,celseq vs smartseq2,gamma,18,213,3834,153,10000,8.564261275150296,5.941182498960211,1.4415078608760392,0.3656896913426643
Uncorrected_PCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,acinar,274,21,5754,10000,210,29.550832020303915,12.195875654395689,2.4230184742538827,0.885014066342624
Uncorrected_PCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,activated_stellate,90,16,1440,4005,120,40.630515421541276,15.082012077613646,2.693971813074562,0.9910166150806381
Uncorrected_PCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,alpha,500,241,10000,10000,10000,23.323827296949197,6.530633992125267,3.571449161761845,1.272971441089585
Uncorrected_PCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,beta,445,258,10000,10000,10000,29.255003455519216,8.271308523528765,3.5369256717120057,1.2632578955021134
Uncorrected_PCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,delta,203,25,5075,10000,300,26.842854767546587,6.4768334901372615,4.144441077329242,1.421767936872555
Uncorrected_PCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,ductal,257,34,8738,10000,561,32.286406883706235,14.997708076385994,2.152756055743039,0.766748907616793
Uncorrected_PCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,endothelial,21,14,294,210,91,43.63889995459125,12.808677471979184,3.4069793739484497,1.225826084638916
Uncorrected_PCA,celseq2,fluidigmc1,celseq2 vs fluidigmc1,gamma,110,18,1980,5995,153,23.469578073837972,5.989680012205517,3.91833587537442,1.3656670420794133
Uncorrected_PCA,celseq2,indrop,celseq2 vs indrop,acinar,274,500,10000,10000,10000,22.74234293375204,11.205275210363641,2.029610385001333,0.7078438460622789
Uncorrected_PCA,celseq2,indrop,celseq2 vs indrop,activated_stellate,90,294,10000,4005,10000,36.92459845756208,20.489482131374363,1.8021245349594057,0.5889662660986557
Uncorrected_PCA,celseq2,indrop,celseq2 vs indrop,alpha,500,500,10000,10000,10000,10.071060078239038,5.208367003406599,1.933631034766162,0.6593996005297608
Uncorrected_PCA,celseq2,indrop,celseq2 vs indrop,beta,445,500,10000,10000,10000,12.862265388492474,6.013743358490018,2.1388118218137664,0.7602504513886312
Uncorrected_PCA,celseq2,indrop,celseq2 vs indrop,delta,203,500,10000,10000,10000,12.41225246205839,6.131403756689437,2.0243736923239593,0.70526036497793
Uncorrected_PCA,celseq2,indrop,celseq2 vs indrop,ductal,257,500,10000,10000,10000,21.5317776926606,14.843439472889845,1.4505922115953234,0.37197189484088444
Uncorrected_PCA,celseq2,indrop,celseq2 vs indrop,endothelial,21,235,4935,210,10000,37.52086163775922,15.854861728108474,2.3665208994689575,0.861420901708629
Uncorrected_PCA,celseq2,indrop,celseq2 vs indrop,gamma,110,266,10000,5995,10000,10.612857978070627,6.136042579430157,1.7295932746047247,0.5478862794844725
Uncorrected_PCA,celseq2,indrop,celseq2 vs indrop,macrophage,15,55,825,105,1485,21.07444704849033,17.69478447631537,1.190997668081161,0.17479133242091957
Uncorrected_PCA,celseq2,indrop,celseq2 vs indrop,quiescent_stellate,12,160,1920,66,10000,33.24215180230987,17.652726260971328,1.883117163370138,0.6329284693910218
Uncorrected_PCA,celseq2,smartseq2,celseq2 vs smartseq2,acinar,274,188,10000,10000,10000,20.576776718906117,14.845149735943146,1.386094251988953,0.326489901333653
Uncorrected_PCA,celseq2,smartseq2,celseq2 vs smartseq2,activated_stellate,90,55,4950,4005,1485,29.88951001168037,16.66062190847988,1.7940212661849846,0.5844596176270951
Uncorrected_PCA,celseq2,smartseq2,celseq2 vs smartseq2,alpha,500,500,10000,10000,10000,7.610506827419897,4.624990533107261,1.6455183579169064,0.49805544577591737
Uncorrected_PCA,celseq2,smartseq2,celseq2 vs smartseq2,beta,445,308,10000,10000,10000,10.069477635775087,6.636569587629129,1.517271461229768,0.41691363045486013
Uncorrected_PCA,celseq2,smartseq2,celseq2 vs smartseq2,delta,203,127,10000,10000,8001,8.780973918079138,6.454682003241399,1.3604037989275886,0.30778156665478773
Uncorrected_PCA,celseq2,smartseq2,celseq2 vs smartseq2,ductal,257,444,10000,10000,10000,19.273328934821876,16.29799588956834,1.1825582154648793,0.1676800710092603
Uncorrected_PCA,celseq2,smartseq2,celseq2 vs smartseq2,endothelial,21,21,441,210,210,17.107292517159646,13.24579190431982,1.2915265950675614,0.255824925728545
Uncorrected_PCA,celseq2,smartseq2,celseq2 vs smartseq2,gamma,110,213,10000,5995,10000,8.320993130281453,5.912072737454878,1.4074578408965255,0.34178512740123823
Uncorrected_PCA,fluidigmc1,indrop,fluidigmc1 vs indrop,acinar,21,500,10000,210,10000,29.14271118452553,10.531773031534449,2.7671229808376836,1.017808145367416
Uncorrected_PCA,fluidigmc1,indrop,fluidigmc1 vs indrop,activated_stellate,16,294,4704,120,10000,46.00494157623788,22.922188521362507,2.007004764547819,0.6966434437764152
Uncorrected_PCA,fluidigmc1,indrop,fluidigmc1 vs indrop,alpha,241,500,10000,10000,10000,23.66764837284493,7.419852218212636,3.1897735530029485,1.159949927757639
Uncorrected_PCA,fluidigmc1,indrop,fluidigmc1 vs indrop,beta,258,500,10000,10000,10000,30.59253599850467,8.518417785769746,3.591340172304105,1.2785254398869448
Uncorrected_PCA,fluidigmc1,indrop,fluidigmc1 vs indrop,delta,25,500,10000,300,10000,28.105598078796923,5.923055665672008,4.745118004155743,1.5571163009108766
Uncorrected_PCA,fluidigmc1,indrop,fluidigmc1 vs indrop,ductal,34,500,10000,561,10000,33.582491781573545,15.036939836645912,2.2333328553813208,0.8034950237204239
Uncorrected_PCA,fluidigmc1,indrop,fluidigmc1 vs indrop,endothelial,14,235,3290,91,10000,41.09442491932879,15.990088946041112,2.5699935164840406,0.9439033761350905
Uncorrected_PCA,fluidigmc1,indrop,fluidigmc1 vs indrop,gamma,18,266,4788,153,10000,23.40346543422959,6.32291851850802,3.7013707144453227,1.3087032144091708
Uncorrected_PCA,fluidigmc1,smartseq2,fluidigmc1 vs smartseq2,acinar,21,188,3948,210,10000,32.995305464201465,18.170774318516234,1.815844767307404,0.5965507959678336
Uncorrected_PCA,fluidigmc1,smartseq2,fluidigmc1 vs smartseq2,activated_stellate,16,55,880,120,1485,41.73936906948459,21.56987558797345,1.935076950223899,0.6601470932486073
Uncorrected_PCA,fluidigmc1,smartseq2,fluidigmc1 vs smartseq2,alpha,241,500,10000,10000,10000,23.156070878022707,6.677014065778278,3.4680278714260306,1.2435860956293778
Uncorrected_PCA,fluidigmc1,smartseq2,fluidigmc1 vs smartseq2,beta,258,308,10000,10000,10000,29.157206553995437,9.500173108793275,3.0691237117571877,1.1213920849448122
Uncorrected_PCA,fluidigmc1,smartseq2,fluidigmc1 vs smartseq2,delta,25,127,3175,300,8001,27.09840219068537,6.629613146148934,4.0874786497047,1.4079283128958953
